amt,fiitax_se,tfica_se,totfedtax_se,fiitax_wage,tfica_wage,totfedtax_wage
30800,1212.8101,4351.8999,5564.71,1828.5,2356.2,4184.7002
30900,1221.73,4366.0298,5587.7598,1840.5,2363.8501,4204.3501
31000,1230.65,4380.1602,5610.8101,1852.5,2371.5,4224
31100,1239.5699,4394.29,5633.8599,1864.5,2379.1499,4243.6499
31200,1248.5,4408.4199,5656.9199,1876.5,2386.8,4263.2998
31300,1257.42,4422.5498,5679.9697,1888.5,2394.45,4282.9502
31400,1266.34,4436.6802,5703.02,1900.5,2402.1001,4302.6001
31500,1275.26,4450.8101,5726.0703,1912.5,2409.75,4322.25
31600,1284.1801,4464.9399,5749.1201,1924.5,2417.3999,4341.8999
31700,1293.1,4479.0698,5772.1699,1936.5,2425.05,4361.5498
31800,1302.03,4493.2002,5795.2305,1948.5,2432.7,4381.2002
31900,1310.95,4507.3301,5818.2803,1960.5,2440.3501,4400.8501
32000,1319.87,4521.46,5841.3301,1972.5,2448,4420.5
32100,1328.79,4535.5898,5864.3799,1984.5,2455.6499,4440.1499
32200,1337.71,4549.7202,5887.4302,1996.5,2463.3,4459.7998
32300,1346.64,4563.8398,5910.48,2008.5,2470.95,4479.4502
32400,1355.5601,4577.9702,5933.5303,2020.5,2478.6001,4499.1001
32500,1364.48,4592.1001,5956.5801,2032.5,2486.25,4518.75
32600,1373.4,4606.23,5979.6299,2044.5,2493.8999,4538.3999
32700,1382.3199,4620.3599,6002.6797,2056.5,2501.55,4558.0498
32800,1391.24,4634.4902,6025.7305,2068.5,2509.2,4577.7002
32900,1400.17,4648.6201,6048.79,2080.5,2516.8501,4597.3501
33000,1409.09,4662.75,6071.8398,2092.5,2524.5,4617
33100,1418.01,4676.8799,6094.8896,2104.5,2532.1499,4636.6499
33200,1426.9301,4691.0098,6117.9399,2116.5,2539.8,4656.2998
33300,1435.85,4705.1401,6140.9902,2128.5,2547.45,4675.9502
33400,1444.78,4719.27,6164.0498,2140.5,2555.1001,4695.6001
33500,1453.7,4733.3999,6187.0996,2152.5,2562.75,4715.25
33600,1462.62,4747.5298,6210.1499,2164.5,2570.3999,4734.8999
33700,1471.54,4761.6602,6233.2002,2176.5,2578.05,4754.5498
33800,1480.46,4775.79,6256.25,2188.5,2585.7,4774.2002
33900,1489.38,4789.9199,6279.2998,2200.5,2593.3501,4793.8501
34000,1498.3101,4804.0498,6302.3599,2212.5,2601,4813.5
34100,1507.23,4818.1802,6325.4102,2224.5,2608.6499,4833.1499
34200,1516.15,4832.3101,6348.46,2236.5,2616.3,4852.7998
34300,1525.0699,4846.4399,6371.5098,2248.5,2623.95,4872.4502
34400,1533.99,4860.5698,6394.5596,2260.5,2631.6001,4892.1001
34500,1542.91,4874.6899,6417.6001,2272.5,2639.25,4911.75
34600,1551.84,4888.8198,6440.6597,2284.5,2646.8999,4931.3999
34700,1560.76,4902.9502,6463.71,2296.5,2654.55,4951.0498
34800,1569.6801,4917.0801,6486.7603,2308.5,2662.2,4970.7002
34900,1578.6,4931.21,6509.8101,2320.5,2669.8501,4990.3501
35000,1587.52,4945.3398,6532.8599,2332.5,2677.5,5010
35100,1596.45,4959.4702,6555.9199,2344.5,2685.1499,5029.6499
35200,1605.37,4973.6001,6578.9702,2356.5,2692.8,5049.2998
35300,1614.29,4987.73,6602.02,2368.5,2700.45,5068.9502
35400,1623.21,5001.8599,6625.0698,2380.5,2708.1001,5088.6001
35500,1632.13,5015.9902,6648.1201,2392.5,2715.75,5108.25
35600,1641.05,5030.1201,6671.1699,2404.5,2723.3999,5127.8999
35700,1649.98,5044.25,6694.23,2416.5,2731.05,5147.5498
35800,1658.9,5058.3799,6717.2798,2428.5,2738.7,5167.2002
35900,1667.8199,5072.5098,6740.3296,2440.5,2746.3501,5186.8501
36000,1676.74,5086.6401,6763.3799,2452.5,2754,5206.5
36100,1685.66,5100.77,6786.4302,2464.5,2761.6499,5226.1499
36200,1694.58,5114.8999,6809.48,2476.5,2769.3,5245.7998
36300,1703.51,5129.0298,6832.54,2488.5,2776.95,5265.4502
36400,1712.4301,5143.1602,6855.5903,2500.5,2784.6001,5285.1001
36500,1721.35,5157.29,6878.6401,2512.5,2792.25,5304.75
36600,1730.27,5171.4199,6901.6899,2524.5,2799.8999,5324.3999
